seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
0,2,C,,-5,0.5529212325261267,0.8534833781929833,0.5149253731343284
0,2,C,,0,0.732812280520515,0.9179322677603876,0.6529850746268657
0,2,C,,5,0.831712997004877,0.9452317980251405,0.7313432835820896
0,2,C,,10,0.8806816720827256,0.9594273065084753,0.8059701492537313
0,2,M,,-5,0.5242627553146699,0.8096472219657633,0.5298507462686567
0,2,M,,0,0.633283241594589,0.8667067576105855,0.6194029850746269
0,2,M,,5,0.7034047754049119,0.9030499943941448,0.6716417910447762
0,2,M,,10,0.7632759644657792,0.922836162558242,0.6977611940298507
0,2,S,5.0,-5,0.5193202244823851,0.8129519147045715,0.4962686567164179
0,2,S,5.0,0,0.6542316606337746,0.8725734351570628,0.6007462686567164
0,2,S,5.0,5,0.7345475965405966,0.9060195156246528,0.6567164179104478
0,2,S,5.0,10,0.7687447126719658,0.928900847779757,0.6791044776119403
0,4,C,,-5,0.5020755465244935,0.8232296814899682,0.3880597014925373
0,4,C,,0,0.7037504943809693,0.9049327693360462,0.6044776119402985
0,4,C,,5,0.8087972884631868,0.9409057919110299,0.7201492537313433
0,4,C,,10,0.8834271539905029,0.9621136980251864,0.8208955223880597
0,4,M,,-5,0.6098450846809181,0.8596556945564009,0.6082089552238806
0,4,M,,0,0.692039200581094,0.8970225186111226,0.667910447761194
0,4,M,,5,0.7609151522773981,0.9165386061741332,0.7201492537313433
0,4,M,,10,0.7972247935286322,0.9290793701719043,0.7388059701492538
0,4,S,5.0,-5,0.5645224494831068,0.8391232726034811,0.5149253731343284
0,4,S,5.0,0,0.6971396343566324,0.8904651125229526,0.6455223880597015
0,4,S,5.0,5,0.7618035874174233,0.92505020861967,0.7052238805970149
0,4,S,5.0,10,0.8007700521469854,0.9403493447755242,0.7313432835820896
0,8,C,,-5,0.5202833812637712,0.8413559052557521,0.41044776119402987
0,8,C,,0,0.6940262187028035,0.9005688175761867,0.5410447761194029
0,8,C,,5,0.779044657096612,0.9295102582060496,0.6716417910447762
0,8,C,,10,0.85257803815084,0.960045874529923,0.7388059701492538
0,8,M,,-5,0.7102362104139216,0.9114548991782367,0.6455223880597015
0,8,M,,0,0.8408720597692804,0.9506527655014285,0.753731343283582
0,8,M,,5,0.908137258815876,0.9717673989192571,0.835820895522388
0,8,M,,10,0.9398864677225572,0.9827815676761885,0.8694029850746269
0,8,S,5.0,-5,0.6352961028855223,0.8765160814136524,0.5597014925373134
0,8,S,5.0,0,0.7774618268219368,0.9315032306843423,0.746268656716418
0,8,S,5.0,5,0.8623403656950899,0.9650909369873426,0.835820895522388
0,8,S,5.0,10,0.9089654448196125,0.9758973832383557,0.8619402985074627
0,16,C,,-5,0.5114693519573538,0.8157529117682499,0.3805970149253731
0,16,C,,0,0.6938183333509907,0.8897019301285279,0.5373134328358209
0,16,C,,5,0.7862926888125046,0.9331420762929691,0.6753731343283582
0,16,C,,10,0.8757578629585373,0.9618276696074278,0.7686567164179104
0,16,M,,-5,0.6892807438778819,0.9042805126052595,0.664179104477612
0,16,M,,0,0.8504295945866914,0.9567539961831111,0.7835820895522388
0,16,M,,5,0.9226335686678977,0.9793340218870374,0.832089552238806
0,16,M,,10,0.9400107045181789,0.9807098962663837,0.8880597014925373
0,16,S,5.0,-5,0.640314831755659,0.8810262552493668,0.6082089552238806
0,16,S,5.0,0,0.8104303919898795,0.941252142522315,0.7574626865671642
0,16,S,5.0,5,0.89076979926152,0.9692736695421047,0.8507462686567164
0,16,S,5.0,10,0.9206110297268386,0.9801654817404463,0.8544776119402985
1,2,C,,-5,0.4966242536601685,0.8260080467832278,0.3694029850746269
1,2,C,,0,0.6895361563121005,0.9021220187608284,0.5074626865671642
1,2,C,,5,0.7981237993586389,0.941867560191624,0.6268656716417911
1,2,C,,10,0.8381445474831514,0.9539239694610249,0.7313432835820896
1,2,M,,-5,0.6247352592048431,0.8576482027258441,0.5447761194029851
1,2,M,,0,0.7291476959480938,0.9064932182561218,0.6529850746268657
1,2,M,,5,0.8036867450308091,0.9432402556711521,0.7350746268656716
1,2,M,,10,0.8603499274656699,0.9620302966916726,0.7910447761194029
1,2,S,5.0,-5,0.590174195939275,0.8370362552107258,0.503731343283582
1,2,S,5.0,0,0.7493668507851138,0.9094685829545127,0.6753731343283582
1,2,S,5.0,5,0.8444826389214712,0.9493020252383458,0.7649253731343284
1,2,S,5.0,10,0.8957337970602977,0.9699854063724059,0.832089552238806
1,4,C,,-5,0.48966292435758085,0.8286273247911292,0.43283582089552236
1,4,C,,0,0.6820176645005273,0.9057354972212515,0.5932835820895522
1,4,C,,5,0.7926529983915043,0.9384884051942732,0.7238805970149254
