k,train_condition,test_snr,class_idx,class_name,ap_mean,ap_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,C,-5,0,BottlenoseDolphin,0.4781,0.0768,0.8758,0.0266,0.3311,0.0662,0.6286,0.2059,0.4269,0.0979
2,C,-5,1,BowheadWhale,0.4099,0.0952,0.7231,0.0688,0.5859,0.116,0.1674,0.0666,0.2551,0.082
2,C,-5,2,ClymeneDolphin,0.5854,0.0821,0.8505,0.0466,0.6429,0.0686,0.4326,0.0816,0.5106,0.0588
2,C,-5,3,Frasherdolphin,0.4382,0.1123,0.8532,0.044,0.2788,0.0764,0.8562,0.1182,0.4111,0.0728
2,C,-5,4,HumpbackWhale,0.6306,0.0672,0.8475,0.0281,0.716,0.1465,0.3739,0.1123,0.476,0.0918
2,C,-5,5,KillerWhale,0.7506,0.1126,0.9455,0.0253,0.7299,0.1035,0.5905,0.1002,0.646,0.0765
2,C,-5,6,NorthernRightWhale,0.3298,0.038,0.6785,0.0462,0.4186,0.1078,0.2049,0.1202,0.2642,0.1184
2,C,0,0,BottlenoseDolphin,0.6785,0.1024,0.9187,0.025,0.4053,0.0843,0.7238,0.1321,0.514,0.0897
2,C,0,1,BowheadWhale,0.5565,0.1398,0.8136,0.0658,0.7244,0.199,0.2093,0.0822,0.3205,0.1093
2,C,0,2,ClymeneDolphin,0.8279,0.0863,0.9552,0.0283,0.8198,0.1178,0.6605,0.1382,0.7221,0.0987
2,C,0,3,Frasherdolphin,0.6424,0.1186,0.9241,0.0282,0.382,0.1245,0.9312,0.0559,0.53,0.1229
2,C,0,4,HumpbackWhale,0.7952,0.054,0.9231,0.0267,0.8188,0.0802,0.5739,0.1254,0.6663,0.0847
2,C,0,5,KillerWhale,0.8503,0.0894,0.9691,0.0176,0.765,0.1258,0.7905,0.1207,0.7683,0.0905
2,C,0,6,NorthernRightWhale,0.4395,0.0382,0.7469,0.0726,0.5748,0.0983,0.2488,0.0982,0.3378,0.0936
2,C,5,0,BottlenoseDolphin,0.7305,0.1205,0.9481,0.0191,0.5027,0.083,0.7619,0.0891,0.6001,0.0671
2,C,5,1,BowheadWhale,0.6926,0.1028,0.8794,0.0577,0.8186,0.0894,0.3907,0.0686,0.5265,0.0703
2,C,5,2,ClymeneDolphin,0.8918,0.0809,0.9784,0.0175,0.8679,0.0779,0.8093,0.0936,0.8335,0.0605
2,C,5,3,Frasherdolphin,0.7825,0.134,0.9553,0.0209,0.5053,0.1405,0.9562,0.0171,0.651,0.1215
2,C,5,4,HumpbackWhale,0.8752,0.0332,0.9526,0.0191,0.8553,0.0677,0.7478,0.0878,0.7951,0.0605
2,C,5,5,KillerWhale,0.9055,0.0608,0.98,0.012,0.7908,0.1079,0.8905,0.0598,0.8322,0.0551
2,C,5,6,NorthernRightWhale,0.574,0.0454,0.8084,0.0581,0.7255,0.0967,0.3561,0.1152,0.4659,0.0922
2,C,10,0,BottlenoseDolphin,0.7633,0.1338,0.9609,0.0188,0.5848,0.1067,0.7619,0.0673,0.6566,0.0814
2,C,10,1,BowheadWhale,0.8144,0.0289,0.9272,0.0263,0.8733,0.0737,0.5488,0.0353,0.6722,0.0266
2,C,10,2,ClymeneDolphin,0.9221,0.0573,0.9863,0.0104,0.8962,0.034,0.8651,0.0845,0.8779,0.0417
2,C,10,3,Frasherdolphin,0.8554,0.0978,0.9691,0.0136,0.6018,0.1412,0.9687,0.0,0.7345,0.1097
2,C,10,4,HumpbackWhale,0.8936,0.0369,0.9708,0.0096,0.8489,0.0737,0.8435,0.0357,0.8443,0.0335
2,C,10,5,KillerWhale,0.9457,0.0342,0.9877,0.007,0.793,0.0664,0.919,0.0398,0.8493,0.0342
2,C,10,6,NorthernRightWhale,0.6846,0.0445,0.8466,0.0389,0.8419,0.0743,0.4439,0.1284,0.5695,0.0892
2,M,-5,0,BottlenoseDolphin,0.497,0.1491,0.8637,0.1027,0.4076,0.118,0.6381,0.2869,0.4783,0.1525
2,M,-5,1,BowheadWhale,0.5285,0.0526,0.8125,0.0426,0.4908,0.0667,0.493,0.1892,0.4717,0.0977
2,M,-5,2,ClymeneDolphin,0.5728,0.0845,0.8245,0.0445,0.6303,0.078,0.4744,0.1061,0.5355,0.082
2,M,-5,3,Frasherdolphin,0.608,0.0284,0.9099,0.0192,0.5467,0.0609,0.7375,0.1373,0.6246,0.0841
2,M,-5,4,HumpbackWhale,0.5443,0.1228,0.777,0.047,0.6507,0.1933,0.4,0.181,0.4618,0.1358
2,M,-5,5,KillerWhale,0.84,0.0514,0.9365,0.0321,0.8768,0.1193,0.6238,0.1171,0.7142,0.0464
2,M,-5,6,NorthernRightWhale,0.4236,0.0506,0.7503,0.0616,0.3678,0.042,0.4585,0.182,0.3926,0.0698
2,M,0,0,BottlenoseDolphin,0.6388,0.1709,0.9117,0.0817,0.5382,0.141,0.6857,0.2664,0.5875,0.1783
2,M,0,1,BowheadWhale,0.5983,0.0504,0.8597,0.0483,0.5768,0.0767,0.6186,0.1806,0.5797,0.0838
2,M,0,2,ClymeneDolphin,0.7474,0.0773,0.9156,0.0223,0.753,0.0678,0.6093,0.0761,0.6705,0.0531
2,M,0,3,Frasherdolphin,0.7302,0.0522,0.9222,0.0133,0.6154,0.0383,0.8062,0.1114,0.6952,0.0555
2,M,0,4,HumpbackWhale,0.6414,0.1163,0.8375,0.0442,0.7342,0.1792,0.5261,0.1749,0.5858,0.11
2,M,0,5,KillerWhale,0.8982,0.0444,0.9619,0.02,0.9032,0.0991,0.719,0.1592,0.7841,0.0719
2,M,0,6,NorthernRightWhale,0.4771,0.0847,0.8002,0.0642,0.4664,0.0407,0.5171,0.2374,0.465,0.0942
2,M,5,0,BottlenoseDolphin,0.7324,0.1875,0.9383,0.0684,0.6333,0.1642,0.6476,0.2578,0.6246,0.1872
2,M,5,1,BowheadWhale,0.6798,0.0738,0.8926,0.0488,0.6159,0.0797,0.6884,0.1858,0.636,0.0848
2,M,5,2,ClymeneDolphin,0.8222,0.067,0.9465,0.0128,0.7967,0.0865,0.7116,0.0816,0.7474,0.0524
2,M,5,3,Frasherdolphin,0.7942,0.0422,0.9485,0.0146,0.6943,0.0509,0.8312,0.09,0.7529,0.0398
2,M,5,4,HumpbackWhale,0.7035,0.1196,0.8772,0.0444,0.7415,0.1237,0.6304,0.1434,0.6682,0.0829
2,M,5,5,KillerWhale,0.9205,0.05,0.972,0.0243,0.9461,0.078,0.7762,0.1321,0.8427,0.0621
2,M,5,6,NorthernRightWhale,0.5718,0.1052,0.8499,0.0562,0.5563,0.0996,0.5707,0.2123,0.5336,0.0793
2,M,10,0,BottlenoseDolphin,0.7806,0.1686,0.9485,0.0484,0.7398,0.1804,0.6952,0.2395,0.7026,0.1919
2,M,10,1,BowheadWhale,0.7377,0.0874,0.9148,0.048,0.6312,0.0638,0.6977,0.1853,0.653,0.099
2,M,10,2,ClymeneDolphin,0.8793,0.0371,0.9584,0.0103,0.834,0.0688,0.7442,0.0973,0.7804,0.0418
2,M,10,3,Frasherdolphin,0.8355,0.0532,0.9644,0.0095,0.7401,0.0892,0.8375,0.0948,0.7779,0.0381
2,M,10,4,HumpbackWhale,0.7595,0.1122,0.9063,0.042,0.7596,0.1438,0.6957,0.1442,0.7139,0.1018
