seed,k,train_condition,train_snr,stage,epoch,loss,alpha
0,2,C,,warmup,1,1.0100826025009155,0.5
0,2,C,,warmup,2,0.07915469259023666,0.5
0,2,C,,warmup,3,0.01136536244302988,0.5
0,2,C,,warmup,4,0.004508995451033115,0.5
0,2,C,,warmup,5,0.002820751164108515,0.5
0,2,C,,warmup,6,0.0015971580287441611,0.5
0,2,C,,warmup,7,0.0010629091411828995,0.5
0,2,C,,warmup,8,0.0008508950122632086,0.5
0,2,C,,warmup,9,0.0008768215193413198,0.5
0,2,C,,warmup,10,0.0015650682616978884,0.5
0,2,C,,warmup,11,0.0006095767021179199,0.5
0,2,C,,warmup,12,0.0005120807327330112,0.5
0,2,C,,warmup,13,0.0005680159665644169,0.5
0,2,C,,warmup,14,0.0005278614698909223,0.5
0,2,C,,warmup,15,0.00042011693585664034,0.5
0,2,C,,warmup,16,0.0004770874511450529,0.5
0,2,C,,warmup,17,0.00045651517575606704,0.5
0,2,C,,warmup,18,0.0006706443964503706,0.5
0,2,C,,warmup,19,0.0005684606148861349,0.5
0,2,C,,warmup,20,0.00046550919068977237,0.5
0,2,C,,joint,1,1.626688003540039,0.5050400495529175
0,2,C,,joint,2,1.1240538358688354,0.5272723436355591
0,2,C,,joint,3,0.6921247839927673,0.5593069791793823
0,2,C,,joint,4,0.8902144432067871,0.5911428332328796
0,2,C,,joint,5,0.6818376779556274,0.6027392148971558
0,2,C,,joint,6,0.6645417213439941,0.6041863560676575
0,2,C,,joint,7,0.6795797348022461,0.601553201675415
0,2,C,,joint,8,0.6641189455986023,0.6003448963165283
0,2,C,,joint,9,0.6334771513938904,0.6058564782142639
0,2,C,,joint,10,0.577876091003418,0.6107698678970337
0,2,C,,joint,11,0.6081748008728027,0.6167521476745605
0,2,C,,joint,12,0.5788483619689941,0.6131114363670349
0,2,C,,joint,13,0.5913503170013428,0.614173412322998
0,2,C,,joint,14,0.5692055225372314,0.6161123514175415
0,2,C,,joint,15,0.6041844487190247,0.6150545477867126
0,2,C,,joint,16,0.5907824635505676,0.6114882826805115
0,2,C,,joint,17,0.6282100677490234,0.6122504472732544
0,2,C,,joint,18,0.5694257616996765,0.6166947484016418
0,2,C,,joint,19,0.5820460319519043,0.6153891086578369
0,2,C,,joint,20,0.5622806549072266,0.616242527961731
0,2,C,,joint,21,0.5740610361099243,0.6189078092575073
0,2,C,,joint,22,0.5583828091621399,0.6218810081481934
0,2,C,,joint,23,0.5792505145072937,0.6235840320587158
0,2,C,,joint,24,0.5677598118782043,0.6237169504165649
0,2,C,,joint,25,0.5770410299301147,0.621076226234436
