seed,k,train_condition,train_snr,gate_activation,final_alpha
0,2,C,,0.699489414691925,0.6605764031410217
0,2,C,,0.07109983265399933,0.6605764031410217
0,2,C,,0.14502009749412537,0.6605764031410217
0,2,C,,0.1977279931306839,0.6605764031410217
0,2,C,,0.5263986587524414,0.6605764031410217
0,2,C,,0.4912105202674866,0.6605764031410217
0,2,C,,0.3400142192840576,0.6605764031410217
0,2,C,,0.6476129293441772,0.6605764031410217
0,2,C,,0.6331015229225159,0.6605764031410217
0,2,C,,0.49754834175109863,0.6605764031410217
0,2,C,,0.6240881681442261,0.6605764031410217
0,2,C,,0.18867579102516174,0.6605764031410217
0,2,C,,0.5087326169013977,0.6605764031410217
0,2,C,,0.08946871757507324,0.6605764031410217
0,2,C,,0.3594968020915985,0.6605764031410217
0,2,C,,0.06943763047456741,0.6605764031410217
0,2,C,,0.4530591666698456,0.6605764031410217
0,2,C,,0.1411236971616745,0.6605764031410217
0,2,C,,0.934971034526825,0.6605764031410217
0,2,C,,0.6398478150367737,0.6605764031410217
0,2,C,,0.14319366216659546,0.6605764031410217
0,2,C,,0.3821311593055725,0.6605764031410217
0,2,C,,0.027197634801268578,0.6605764031410217
0,2,C,,0.4931555390357971,0.6605764031410217
0,2,C,,0.1434420347213745,0.6605764031410217
0,2,C,,0.24101883172988892,0.6605764031410217
0,2,C,,0.03966687619686127,0.6605764031410217
0,2,C,,0.2415369153022766,0.6605764031410217
0,2,C,,0.11492575705051422,0.6605764031410217
0,2,C,,0.8169967532157898,0.6605764031410217
0,2,C,,0.8732589483261108,0.6605764031410217
0,2,C,,0.9017202854156494,0.6605764031410217
0,2,C,,0.3453407287597656,0.6605764031410217
0,2,C,,0.20149914920330048,0.6605764031410217
0,2,C,,0.9516268372535706,0.6605764031410217
0,2,C,,0.023155923932790756,0.6605764031410217
0,2,C,,0.04866093024611473,0.6605764031410217
0,2,C,,0.5341789126396179,0.6605764031410217
0,2,C,,0.20639054477214813,0.6605764031410217
0,2,C,,0.41890060901641846,0.6605764031410217
0,2,C,,0.4467202425003052,0.6605764031410217
0,2,C,,0.11841224133968353,0.6605764031410217
0,2,C,,0.5461755394935608,0.6605764031410217
0,2,C,,0.22891147434711456,0.6605764031410217
0,2,C,,0.9612440466880798,0.6605764031410217
0,2,C,,0.9821146726608276,0.6605764031410217
0,2,C,,0.728866696357727,0.6605764031410217
0,2,C,,0.6759220957756042,0.6605764031410217
0,2,C,,0.6103013753890991,0.6605764031410217
0,2,C,,0.6164106726646423,0.6605764031410217
0,2,C,,0.12110520154237747,0.6605764031410217
0,2,C,,0.6721885204315186,0.6605764031410217
0,2,C,,0.7285590171813965,0.6605764031410217
0,2,C,,0.5091593861579895,0.6605764031410217
0,2,C,,0.7241259217262268,0.6605764031410217
0,2,C,,0.3697773516178131,0.6605764031410217
0,2,C,,0.28474199771881104,0.6605764031410217
0,2,C,,0.4169315993785858,0.6605764031410217
0,2,C,,0.579637348651886,0.6605764031410217
0,2,C,,0.03161860629916191,0.6605764031410217
0,2,C,,0.48708251118659973,0.6605764031410217
0,2,C,,0.29128947854042053,0.6605764031410217
0,2,C,,0.10606713593006134,0.6605764031410217
0,2,C,,0.2644784152507782,0.6605764031410217
0,2,C,,0.022197477519512177,0.6605764031410217
0,2,C,,0.04619390890002251,0.6605764031410217
0,2,C,,0.8225529193878174,0.6605764031410217
0,2,C,,0.16458939015865326,0.6605764031410217
0,2,C,,0.5048127174377441,0.6605764031410217
0,2,C,,0.18897560238838196,0.6605764031410217
0,2,C,,0.9589938521385193,0.6605764031410217
0,2,C,,0.2744339406490326,0.6605764031410217
0,2,C,,0.1743849217891693,0.6605764031410217
0,2,C,,0.527793824672699,0.6605764031410217
0,2,C,,0.46610963344573975,0.6605764031410217
0,2,C,,0.127079576253891,0.6605764031410217
0,2,C,,0.9696044325828552,0.6605764031410217
0,2,C,,0.33348485827445984,0.6605764031410217
0,2,C,,0.7669327259063721,0.6605764031410217
0,2,C,,0.3509830832481384,0.6605764031410217
0,2,C,,0.7482019066810608,0.6605764031410217
0,2,C,,0.4814150035381317,0.6605764031410217
0,2,C,,0.6050314903259277,0.6605764031410217
0,2,C,,0.19467177987098694,0.6605764031410217
0,2,C,,0.31840845942497253,0.6605764031410217
0,2,C,,0.5006970763206482,0.6605764031410217
0,2,C,,0.38587895035743713,0.6605764031410217
0,2,C,,0.21511752903461456,0.6605764031410217
0,2,C,,0.047652848064899445,0.6605764031410217
0,2,C,,0.8533202409744263,0.6605764031410217
0,2,C,,0.6684982180595398,0.6605764031410217
0,2,C,,0.3593440055847168,0.6605764031410217
0,2,C,,0.8978992104530334,0.6605764031410217
0,2,C,,0.7213536500930786,0.6605764031410217
0,2,C,,0.23828309774398804,0.6605764031410217
0,2,C,,0.6859514713287354,0.6605764031410217
0,2,C,,0.8981553316116333,0.6605764031410217
0,2,C,,0.21207483112812042,0.6605764031410217
0,2,C,,0.08826114237308502,0.6605764031410217
0,2,C,,0.8626420497894287,0.6605764031410217
0,2,C,,0.874878466129303,0.6605764031410217
0,2,C,,0.02700463868677616,0.6605764031410217
0,2,C,,0.1955595761537552,0.6605764031410217
0,2,C,,0.9056854248046875,0.6605764031410217
0,2,C,,0.5533760786056519,0.6605764031410217
0,2,C,,0.1728057861328125,0.6605764031410217
0,2,C,,0.790901780128479,0.6605764031410217
0,2,C,,0.06855461746454239,0.6605764031410217
