seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
1,32,S,5.0,0,0.8793647847330013,0.9655017764192569,0.8059701492537313
1,32,S,5.0,5,0.938002584692436,0.9825847593282031,0.8619402985074627
1,32,S,5.0,10,0.9670859017679528,0.9920802725195047,0.9029850746268657
2,2,C,,-5,0.5361519994291268,0.820174073075299,0.4141791044776119
2,2,C,,0,0.6740515442999772,0.879698532877596,0.4962686567164179
2,2,C,,5,0.746191381785068,0.910987980488802,0.5671641791044776
2,2,C,,10,0.8075264362534497,0.9376722874566561,0.6567164179104478
2,2,M,,-5,0.5512238047014203,0.842733185925923,0.5186567164179104
2,2,M,,0,0.6037996967228542,0.8695364013056633,0.585820895522388
2,2,M,,5,0.6599719780944862,0.8981146359681631,0.6082089552238806
2,2,M,,10,0.7067144190552819,0.912678310702798,0.6417910447761194
2,2,S,5.0,-5,0.5388781755569566,0.8444741842298004,0.4962686567164179
2,2,S,5.0,0,0.6295309245967743,0.8829400991159423,0.5895522388059702
2,2,S,5.0,5,0.6901466098625679,0.903225128541165,0.6156716417910447
2,2,S,5.0,10,0.7428256029105186,0.9178024569581579,0.664179104477612
2,4,C,,-5,0.5105052622625078,0.8211130965576715,0.39552238805970147
2,4,C,,0,0.6717201593346992,0.8837068476888631,0.5111940298507462
2,4,C,,5,0.7730072869861064,0.9237160366574361,0.5932835820895522
2,4,C,,10,0.8440223972007798,0.949312441788548,0.6828358208955224
2,4,M,,-5,0.5479374778395313,0.8333714162283846,0.5485074626865671
2,4,M,,0,0.6536241538175129,0.8752526050711508,0.6119402985074627
2,4,M,,5,0.72982756031396,0.9018386532542799,0.664179104477612
2,4,M,,10,0.7775723163465044,0.918118531598749,0.6977611940298507
2,4,S,5.0,-5,0.527578616766479,0.8370072428499536,0.47761194029850745
2,4,S,5.0,0,0.6833568339403039,0.9039662476155226,0.6268656716417911
2,4,S,5.0,5,0.7916731238053465,0.9411025773171887,0.7089552238805971
2,4,S,5.0,10,0.8495579859222342,0.9616228473733823,0.75
2,8,C,,-5,0.43240061207498454,0.7518385135182247,0.31716417910447764
2,8,C,,0,0.5810835659312706,0.8409859661078629,0.4962686567164179
2,8,C,,5,0.6923832426493067,0.9040462198610318,0.6119402985074627
2,8,C,,10,0.7976433296172926,0.9488749230267679,0.7276119402985075
2,8,M,,-5,0.6684750480627846,0.877587143961739,0.6007462686567164
2,8,M,,0,0.7935783866975435,0.9300835934442933,0.7313432835820896
2,8,M,,5,0.858684420501828,0.9528926681831168,0.7835820895522388
2,8,M,,10,0.8918476666686193,0.9667232682404544,0.8283582089552238
2,8,S,5.0,-5,0.6353559830226789,0.8865273826557367,0.5671641791044776
2,8,S,5.0,0,0.810678750341135,0.9428553711865995,0.7313432835820896
2,8,S,5.0,5,0.8916861362063909,0.9662074039934925,0.8283582089552238
2,8,S,5.0,10,0.93449227209989,0.9840031056610931,0.8582089552238806
2,16,C,,-5,0.5227868083295842,0.8254991810673421,0.44776119402985076
2,16,C,,0,0.6919861701768298,0.9010892625548257,0.5746268656716418
2,16,C,,5,0.7918141501777904,0.9415342039131176,0.6865671641791045
2,16,C,,10,0.8728924208995402,0.9608528992737749,0.8134328358208955
2,16,M,,-5,0.76839121588257,0.9274299814524679,0.6902985074626866
2,16,M,,0,0.8576120092706834,0.9580848419328225,0.7723880597014925
