seed,k,train_condition,train_snr,stage,epoch,loss,alpha
0,2,C,,warmup,1,1.0111366510391235,0.5
0,2,C,,warmup,2,0.08212403953075409,0.5
0,2,C,,warmup,3,0.010843862779438496,0.5
0,2,C,,warmup,4,0.003857053117826581,0.5
0,2,C,,warmup,5,0.0021095487754791975,0.5
0,2,C,,warmup,6,0.0014606185723096132,0.5
0,2,C,,warmup,7,0.0010862454073503613,0.5
0,2,C,,warmup,8,0.0008778746705502272,0.5
0,2,C,,warmup,9,0.0008698512683622539,0.5
0,2,C,,warmup,10,0.001076518907211721,0.5
0,2,C,,warmup,11,0.0006653210148215294,0.5
0,2,C,,warmup,12,0.0005200837622396648,0.5
0,2,C,,warmup,13,0.0005911158514209092,0.5
0,2,C,,warmup,14,0.0004950222210027277,0.5
0,2,C,,warmup,15,0.0003967153315898031,0.5
0,2,C,,warmup,16,0.00040461510070599616,0.5
0,2,C,,warmup,17,0.00047280805301852524,0.5
0,2,C,,warmup,18,0.0006708130240440369,0.5
0,2,C,,warmup,19,0.0005359378410503268,0.5
0,2,C,,warmup,20,0.0005136341787874699,0.5
0,2,C,,joint,1,0.9101475477218628,0.5045017600059509
0,2,C,,joint,2,0.6256678700447083,0.5272380709648132
0,2,C,,joint,3,0.3838692903518677,0.5585081577301025
0,2,C,,joint,4,0.635174572467804,0.5895106792449951
0,2,C,,joint,5,0.3591183125972748,0.598880410194397
0,2,C,,joint,6,0.3738589584827423,0.6019180417060852
0,2,C,,joint,7,0.3835943341255188,0.6034541726112366
0,2,C,,joint,8,0.3856883943080902,0.6005874872207642
0,2,C,,joint,9,0.3812848627567291,0.6035810708999634
0,2,C,,joint,10,0.37104979157447815,0.6040121912956238
0,2,C,,joint,11,0.3605640232563019,0.6079524159431458
0,2,C,,joint,12,0.3404175937175751,0.6070308089256287
0,2,C,,joint,13,0.33228734135627747,0.6108165979385376
0,2,C,,joint,14,0.33569106459617615,0.6143539547920227
0,2,C,,joint,15,0.34217748045921326,0.6124032735824585
0,2,C,,joint,16,0.33336737751960754,0.6123874187469482
0,2,C,,joint,17,0.35055795311927795,0.6127482652664185
0,2,C,,joint,18,0.35719212889671326,0.6138607859611511
0,2,C,,joint,19,0.34876298904418945,0.6117245554924011
0,2,C,,joint,20,0.3486311137676239,0.608651876449585
0,2,C,,joint,21,0.3585345149040222,0.6086110472679138
0,2,C,,joint,22,0.3429836332798004,0.6119914054870605
0,2,C,,joint,23,0.33058032393455505,0.6144526600837708
0,2,C,,joint,24,0.3160249888896942,0.6183124780654907
0,2,C,,joint,25,0.3181131184101105,0.6179363131523132
0,2,C,,joint,26,0.31545719504356384,0.6262941360473633
0,2,C,,joint,27,0.3177359104156494,0.626014232635498
