seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
0,16,C,,10,0.888260679016203,0.9681717112428894,0.7761194029850746
0,16,M,,-5,0.7093768076705663,0.9046083644500801,0.664179104477612
0,16,M,,0,0.8609224484141517,0.9576556164500628,0.8022388059701493
0,16,M,,5,0.9086026924931435,0.9753049503352357,0.8582089552238806
0,16,M,,10,0.9371730858370835,0.9831538835190471,0.8731343283582089
0,16,S,5.0,-5,0.6386207495381967,0.885804913699662,0.6194029850746269
0,16,S,5.0,0,0.8272737672158035,0.9496043440874903,0.7835820895522388
0,16,S,5.0,5,0.8923365530656941,0.9731614626186592,0.8582089552238806
0,16,S,5.0,10,0.9175103049001766,0.9810140580086958,0.8768656716417911
0,32,C,,-5,0.5449354300074063,0.8353498139143953,0.39552238805970147
0,32,C,,0,0.7311025227565013,0.9106977417891519,0.5708955223880597
0,32,C,,5,0.8335699856971608,0.9485514134994201,0.7238805970149254
0,32,C,,10,0.9060315586700958,0.9689874290466091,0.8022388059701493
0,32,M,,-5,0.7473546843551355,0.9216268880523221,0.6865671641791045
0,32,M,,0,0.8877287356908423,0.9700469522273384,0.8134328358208955
0,32,M,,5,0.9335979613203512,0.983400212505922,0.8582089552238806
0,32,M,,10,0.9543605130473208,0.9906551384070827,0.914179104477612
0,32,S,5.0,-5,0.6635737948787106,0.8903846981580488,0.6156716417910447
0,32,S,5.0,0,0.8553480983136005,0.9508344829418452,0.7611940298507462
0,32,S,5.0,5,0.9069974548677999,0.9678708811829069,0.8582089552238806
0,32,S,5.0,10,0.9341718467251032,0.9817890777924161,0.8694029850746269
1,2,C,,-5,0.5218186534363232,0.8208806907795986,0.3880597014925373
1,2,C,,0,0.6990711928028592,0.8962141797590935,0.5373134328358209
1,2,C,,5,0.801447044648232,0.9296318046794324,0.6865671641791045
1,2,C,,10,0.8656322436462797,0.9499769220731735,0.7835820895522388
1,2,M,,-5,0.6177002586923424,0.8485012174828477,0.5708955223880597
1,2,M,,0,0.7243530974180373,0.8966624995804395,0.664179104477612
1,2,M,,5,0.8041137330113676,0.9319839551646935,0.7276119402985075
1,2,M,,10,0.8553269581568357,0.9547217204364908,0.7985074626865671
1,2,S,5.0,-5,0.6016065123203715,0.8441485667173584,0.5223880597014925
1,2,S,5.0,0,0.7485036173627281,0.9144612245637783,0.664179104477612
1,2,S,5.0,5,0.8361092536770673,0.9511083202751545,0.7276119402985075
1,2,S,5.0,10,0.8999122679733175,0.9737254843123866,0.8022388059701493
1,4,C,,-5,0.5296705080561016,0.8244761996470586,0.43656716417910446
1,4,C,,0,0.7056207453985687,0.8924444578229375,0.6007462686567164
1,4,C,,5,0.7980254129946809,0.9316706409727059,0.7238805970149254
