seed,k,train_condition,train_snr,test_snr,class_idx,class_name,ap,auc,precision,recall,f1
0,2,C,,-5,0,BottlenoseDolphin,0.5972378771628365,0.9140158087526508,0.32727272727272133,0.8571428571428164,0.4736842105259033
0,2,C,,-5,1,BowheadWhale,0.440522980448974,0.808578811369509,0.5555555555554939,0.11627906976743915,0.19230769230739866
0,2,C,,-5,2,ClymeneDolphin,0.6195666472004798,0.8505426356589146,0.6896551724137694,0.4651162790697566,0.5555555555550591
0,2,C,,-5,3,Frasherdolphin,0.48765295795094815,0.8873146186440678,0.37179487179486703,0.9062499999999716,0.5272727272723051
0,2,C,,-5,4,HumpbackWhale,0.582695381996233,0.8404817861339601,0.586206896551704,0.3695652173912963,0.453333333332847
0,2,C,,-5,5,KillerWhale,0.8063193226032443,0.9474294142435735,0.72972972972971,0.6428571428571275,0.683544303796953
0,2,C,,-5,6,NorthernRightWhale,0.3198529189465023,0.7169872139250026,0.38709677419353594,0.2926829268292611,0.3333333333328337
0,2,C,,0,0,BottlenoseDolphin,0.8273051170331137,0.9500674763832658,0.46341463414633016,0.9047619047618618,0.6129032258059839
0,2,C,,0,1,BowheadWhale,0.5535271618938392,0.8704909560723514,0.5833333333332847,0.1627906976744148,0.2545454545451042
0,2,C,,0,2,ClymeneDolphin,0.8646925999160849,0.9578294573643411,0.8787878787878521,0.6744186046511471,0.7631578947363306
0,2,C,,0,3,Frasherdolphin,0.7742740347622339,0.9478283898305084,0.4558823529411698,0.9687499999999697,0.6199999999995524
0,2,C,,0,4,HumpbackWhale,0.8059363252680747,0.9299843321582452,0.7749999999999806,0.6739130434782462,0.720930232557625
0,2,C,,0,5,KillerWhale,0.8846615976030406,0.9731352718078382,0.7857142857142669,0.7857142857142669,0.785714285713767
0,2,C,,0,6,NorthernRightWhale,0.46148418868746455,0.8107875792414312,0.5624999999999823,0.4390243902438917,0.49315068493100095
0,2,C,,5,0,BottlenoseDolphin,0.8622274132546319,0.9676113360323887,0.5624999999999823,0.8571428571428164,0.6792452830183638
0,2,C,,5,1,BowheadWhale,0.6869079692090562,0.9091472868217055,0.8571428571428164,0.41860465116278095,0.5624999999995415
0,2,C,,5,2,ClymeneDolphin,0.950012599522345,0.989250645994832,0.921052631578923,0.813953488372074,0.8641975308636781
0,2,C,,5,3,Frasherdolphin,0.9244144412872076,0.9704713983050848,0.6199999999999876,0.9687499999999697,0.7560975609751154
0,2,C,,5,4,HumpbackWhale,0.9164949110907489,0.9645515080297689,0.799999999999984,0.8695652173912854,0.8333333333328168
0,2,C,,5,5,KillerWhale,0.9335524453454271,0.9850400337126002,0.8260869565217211,0.9047619047618832,0.863636363635845
0,2,C,,5,6,NorthernRightWhale,0.6184108444728711,0.8798753626302783,0.7419354838709439,0.5609756097560838,0.6388888888883807
0,2,C,,10,0,BottlenoseDolphin,0.9024154589371982,0.9791787160208212,0.6206896551723924,0.8571428571428164,0.719999999999484
0,2,C,,10,1,BowheadWhale,0.8549179999991436,0.9548320413436693,0.888888888888856,0.5581395348837079,0.6857142857137922
0,2,C,,10,2,ClymeneDolphin,0.9731025596229177,0.9942118863049095,0.9302325581395132,0.9302325581395132,0.9302325581390131
0,2,C,,10,3,Frasherdolphin,0.9548685946498461,0.9846398305084745,0.7209302325581227,0.9687499999999697,0.8266666666661553
0,2,C,,10,4,HumpbackWhale,0.9470348093262074,0.9791421856639247,0.8163265306122282,0.8695652173912854,0.8421052631573774
0,2,C,,10,5,KillerWhale,0.9637916082491036,0.9927307206068269,0.851063829787216,0.9523809523809297,0.8988764044938633
0,2,C,,10,6,NorthernRightWhale,0.7797742432661601,0.9371440850972387,0.7666666666666412,0.5609756097560838,0.6478873239431556
0,2,M,,-5,0,BottlenoseDolphin,0.4051898053594947,0.8467322151532677,0.40740740740739234,0.5238095238094989,0.45833333333282206
0,2,M,,-5,1,BowheadWhale,0.48870058732779087,0.8125064599483204,0.4285714285714218,0.6279069767441714,0.5094339622636591
0,2,M,,-5,2,ClymeneDolphin,0.5496493076983405,0.8054780361757106,0.5641025641025497,0.5116279069767322,0.5365853658531465
0,2,M,,-5,3,Frasherdolphin,0.5718194057934336,0.8996292372881356,0.6190476190476043,0.8124999999999746,0.7027027027021927
