k,train_condition,test_snr,class_idx,class_name,ap_mean,ap_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,M,-5,3,Frasherdolphin,0.6588,0.0512,0.914,0.0138,0.5883,0.0685,0.7625,0.0474,0.6617,0.0485
2,M,-5,4,HumpbackWhale,0.5196,0.1162,0.7466,0.0463,0.6958,0.1995,0.3739,0.1036,0.4714,0.1048
2,M,-5,5,KillerWhale,0.8443,0.0534,0.9374,0.0196,0.8641,0.103,0.6333,0.1233,0.7181,0.0745
2,M,-5,6,NorthernRightWhale,0.4324,0.0625,0.7474,0.064,0.4183,0.0697,0.439,0.1881,0.4062,0.0772
2,M,0,0,BottlenoseDolphin,0.5885,0.1267,0.9009,0.0649,0.4508,0.1101,0.7048,0.1975,0.5404,0.1167
2,M,0,1,BowheadWhale,0.5979,0.0774,0.8571,0.0509,0.5641,0.0441,0.6279,0.162,0.5819,0.0683
2,M,0,2,ClymeneDolphin,0.7424,0.0517,0.921,0.0313,0.7504,0.06,0.6558,0.0761,0.6969,0.0522
2,M,0,3,Frasherdolphin,0.7627,0.0265,0.9191,0.0135,0.6355,0.0421,0.7812,0.0541,0.6983,0.0044
2,M,0,4,HumpbackWhale,0.6325,0.1066,0.8202,0.0341,0.7439,0.1627,0.4652,0.1061,0.5578,0.0855
2,M,0,5,KillerWhale,0.9023,0.0446,0.9673,0.0193,0.891,0.0946,0.7524,0.1394,0.8037,0.0777
2,M,0,6,NorthernRightWhale,0.4848,0.0894,0.7854,0.0692,0.5105,0.0681,0.4976,0.1963,0.4798,0.0792
2,M,5,0,BottlenoseDolphin,0.7266,0.1694,0.9365,0.0601,0.5817,0.1184,0.7238,0.1917,0.6332,0.1125
2,M,5,1,BowheadWhale,0.6754,0.0893,0.8914,0.0493,0.6072,0.0299,0.7163,0.1983,0.6451,0.0867
2,M,5,2,ClymeneDolphin,0.8203,0.0567,0.9464,0.0167,0.8049,0.0747,0.7116,0.0799,0.7507,0.0398
2,M,5,3,Frasherdolphin,0.8234,0.03,0.9338,0.0067,0.6968,0.0424,0.7937,0.0568,0.7404,0.0302
2,M,5,4,HumpbackWhale,0.7173,0.0984,0.8739,0.0405,0.7613,0.1267,0.5957,0.0955,0.658,0.0684
2,M,5,5,KillerWhale,0.9302,0.0459,0.9789,0.0176,0.9217,0.072,0.819,0.1311,0.8585,0.0599
2,M,5,6,NorthernRightWhale,0.5788,0.0839,0.842,0.0454,0.5748,0.0843,0.5317,0.2108,0.5229,0.089
2,M,10,0,BottlenoseDolphin,0.7842,0.1629,0.9493,0.05,0.6591,0.1458,0.7333,0.1923,0.6761,0.1216
2,M,10,1,BowheadWhale,0.7352,0.0972,0.9174,0.047,0.6583,0.0602,0.7163,0.1892,0.676,0.1011
2,M,10,2,ClymeneDolphin,0.8644,0.0382,0.958,0.0126,0.8247,0.0448,0.7442,0.0945,0.7781,0.0475
2,M,10,3,Frasherdolphin,0.8643,0.031,0.9555,0.0068,0.7457,0.0471,0.8187,0.0713,0.7771,0.0148
2,M,10,4,HumpbackWhale,0.7651,0.1066,0.9042,0.036,0.7671,0.1461,0.6913,0.0902,0.7203,0.0953
2,M,10,5,KillerWhale,0.9545,0.0328,0.9854,0.0159,0.9259,0.0817,0.8476,0.1019,0.878,0.0377
2,M,10,6,NorthernRightWhale,0.64,0.1026,0.8724,0.0475,0.6403,0.1403,0.5805,0.2271,0.5701,0.0999
2,S,-5,0,BottlenoseDolphin,0.441,0.1516,0.8832,0.0725,0.3435,0.1752,0.6381,0.2908,0.4026,0.1156
2,S,-5,1,BowheadWhale,0.4935,0.0745,0.807,0.0507,0.4882,0.0501,0.507,0.219,0.4756,0.0973
2,S,-5,2,ClymeneDolphin,0.5934,0.0662,0.802,0.0514,0.6871,0.1971,0.3907,0.1555,0.4579,0.1248
2,S,-5,3,Frasherdolphin,0.6051,0.0855,0.9089,0.0218,0.5264,0.0794,0.7625,0.0568,0.6187,0.0549
2,S,-5,4,HumpbackWhale,0.5331,0.1707,0.7494,0.079,0.6908,0.2347,0.3783,0.1405,0.4659,0.1243
2,S,-5,5,KillerWhale,0.8718,0.0577,0.9586,0.0171,0.9044,0.106,0.6286,0.0522,0.7378,0.0431
2,S,-5,6,NorthernRightWhale,0.3455,0.0465,0.6976,0.0783,0.3699,0.0663,0.3707,0.1877,0.3405,0.1338
2,S,0,0,BottlenoseDolphin,0.6554,0.2179,0.9242,0.0782,0.4597,0.1716,0.7429,0.2556,0.5399,0.1214
2,S,0,1,BowheadWhale,0.6021,0.0645,0.8607,0.048,0.5602,0.0359,0.6233,0.1812,0.5785,0.0754
2,S,0,2,ClymeneDolphin,0.7823,0.0824,0.912,0.0541,0.7853,0.16,0.5395,0.139,0.6185,0.1135
2,S,0,3,Frasherdolphin,0.7724,0.1105,0.9439,0.0178,0.6314,0.0633,0.825,0.0568,0.7128,0.0414
2,S,0,4,HumpbackWhale,0.653,0.1717,0.8261,0.0868,0.7489,0.2222,0.4913,0.1363,0.5776,0.1364
2,S,0,5,KillerWhale,0.9335,0.0164,0.9809,0.0076,0.9251,0.0684,0.7714,0.1005,0.835,0.0459
2,S,0,6,NorthernRightWhale,0.4627,0.0459,0.7793,0.0705,0.5019,0.1274,0.4585,0.1812,0.4375,0.0944
2,S,5,0,BottlenoseDolphin,0.738,0.2363,0.9416,0.0853,0.5839,0.2061,0.7619,0.2308,0.6357,0.1349
2,S,5,1,BowheadWhale,0.7077,0.0798,0.8965,0.0518,0.6215,0.0861,0.7116,0.1362,0.6554,0.0693
2,S,5,2,ClymeneDolphin,0.8512,0.0707,0.9421,0.0417,0.8229,0.1236,0.6558,0.1032,0.7222,0.0865
2,S,5,3,Frasherdolphin,0.8608,0.1037,0.9706,0.014,0.6909,0.0875,0.8687,0.0559,0.7661,0.0534
2,S,5,4,HumpbackWhale,0.7149,0.1846,0.8653,0.0966,0.7577,0.2053,0.587,0.1889,0.65,0.1735
2,S,5,5,KillerWhale,0.9523,0.0296,0.9878,0.0061,0.9277,0.0631,0.819,0.0884,0.8651,0.0342
2,S,5,6,NorthernRightWhale,0.5629,0.0551,0.8444,0.0654,0.5754,0.0922,0.5171,0.231,0.505,0.1322
2,S,10,0,BottlenoseDolphin,0.8078,0.2185,0.952,0.078,0.6861,0.1921,0.819,0.1558,0.7328,0.1243
2,S,10,1,BowheadWhale,0.7787,0.1019,0.9215,0.0511,0.6277,0.101,0.7349,0.1449,0.6691,0.09
2,S,10,2,ClymeneDolphin,0.8763,0.0697,0.9636,0.0223,0.8754,0.0883,0.707,0.0782,0.7789,0.0628
2,S,10,3,Frasherdolphin,0.8982,0.1126,0.9847,0.0139,0.7294,0.0899,0.9,0.0677,0.8023,0.0601
2,S,10,4,HumpbackWhale,0.7447,0.2017,0.8849,0.1018,0.7776,0.1876,0.6478,0.2192,0.695,0.1927
2,S,10,5,KillerWhale,0.9714,0.0213,0.9941,0.0041,0.9269,0.0731,0.8429,0.0868,0.8775,0.0321
2,S,10,6,NorthernRightWhale,0.6532,0.1074,0.8778,0.0799,0.6495,0.0849,0.5854,0.2457,0.5805,0.1463
4,C,-5,0,BottlenoseDolphin,0.5547,0.0391,0.8754,0.0223,0.4248,0.0637,0.581,0.0852,0.4856,0.05
4,C,-5,1,BowheadWhale,0.4094,0.0622,0.7618,0.0591,0.5541,0.0846,0.1442,0.0382,0.2248,0.0461
4,C,-5,2,ClymeneDolphin,0.6264,0.0509,0.8785,0.0202,0.6313,0.0864,0.5209,0.051,0.5656,0.0374
4,C,-5,3,Frasherdolphin,0.4688,0.0412,0.8699,0.0084,0.2397,0.0051,0.9,0.014,0.3786,0.0052
4,C,-5,4,HumpbackWhale,0.649,0.0221,0.8405,0.0086,0.7495,0.0817,0.3217,0.0728,0.4427,0.0718
4,C,-5,5,KillerWhale,0.8113,0.0255,0.9473,0.015,0.7902,0.0514,0.5571,0.0522,0.651,0.0325
4,C,-5,6,NorthernRightWhale,0.3366,0.0183,0.6902,0.0248,0.4568,0.0505,0.2293,0.0587,0.3036,0.0613
4,C,0,0,BottlenoseDolphin,0.7591,0.0489,0.923,0.0125,0.5212,0.0732,0.7238,0.0852,0.5988,0.0331
4,C,0,1,BowheadWhale,0.569,0.0718,0.8472,0.052,0.6728,0.0708,0.214,0.0645,0.3195,0.0766
4,C,0,2,ClymeneDolphin,0.8638,0.0391,0.9742,0.0116,0.8232,0.1173,0.7721,0.0195,0.7936,0.0585
4,C,0,3,Frasherdolphin,0.706,0.0482,0.9456,0.0061,0.3482,0.0245,0.9625,0.014,0.511,0.026
4,C,0,4,HumpbackWhale,0.8088,0.0213,0.9077,0.0121,0.8504,0.0383,0.6261,0.0677,0.7184,0.0406
4,C,0,5,KillerWhale,0.9094,0.0218,0.9787,0.0056,0.8284,0.0521,0.7333,0.0702,0.7749,0.0367
4,C,0,6,NorthernRightWhale,0.4525,0.0332,0.7773,0.0338,0.6044,0.0327,0.3366,0.0607,0.4287,0.0442
4,C,5,0,BottlenoseDolphin,0.8178,0.0396,0.9479,0.0123,0.5931,0.0704,0.819,0.0398,0.685,0.0423
4,C,5,1,BowheadWhale,0.7279,0.053,0.9131,0.0361,0.8228,0.0709,0.4605,0.0447,0.5888,0.0416
4,C,5,2,ClymeneDolphin,0.95,0.0186,0.9916,0.0037,0.9057,0.0496,0.8744,0.0127,0.8894,0.0299
4,C,5,3,Frasherdolphin,0.87,0.0419,0.9714,0.0042,0.4902,0.0271,0.9687,0.0,0.6506,0.0239
4,C,5,4,HumpbackWhale,0.8856,0.0122,0.9474,0.0099,0.8244,0.0673,0.8087,0.0182,0.8149,0.0272
4,C,5,5,KillerWhale,0.9513,0.0048,0.9895,0.0012,0.8609,0.0332,0.8667,0.0522,0.8622,0.0167
4,C,5,6,NorthernRightWhale,0.5839,0.0557,0.8519,0.0387,0.7624,0.049,0.4,0.0443,0.523,0.0389
4,C,10,0,BottlenoseDolphin,0.8662,0.0176,0.9642,0.0114,0.6891,0.0649,0.8,0.0522,0.7378,0.0374
4,C,10,1,BowheadWhale,0.8671,0.0215,0.9592,0.0108,0.8915,0.0286,0.6419,0.069,0.7443,0.047
4,C,10,2,ClymeneDolphin,0.9716,0.0078,0.9951,0.0014,0.9017,0.0344,0.9302,0.0285,0.9154,0.0255
4,C,10,3,Frasherdolphin,0.9165,0.0468,0.9833,0.0035,0.6112,0.0515,0.9687,0.0,0.7485,0.0383
4,C,10,4,HumpbackWhale,0.9357,0.0077,0.9716,0.0106,0.8743,0.0673,0.8391,0.0119,0.855,0.0275
4,C,10,5,KillerWhale,0.976,0.0018,0.9949,0.0003,0.8453,0.0315,0.9524,0.0376,0.8949,0.0167
4,C,10,6,NorthernRightWhale,0.7425,0.052,0.904,0.0294,0.8261,0.0419,0.5073,0.0869,0.6251,0.0705
4,M,-5,0,BottlenoseDolphin,0.5129,0.0805,0.8926,0.0335,0.4043,0.0834,0.6286,0.1629,0.4878,0.0996
4,M,-5,1,BowheadWhale,0.6207,0.0919,0.8608,0.0404,0.6213,0.0561,0.6,0.1267,0.6022,0.0707
4,M,-5,2,ClymeneDolphin,0.661,0.101,0.8866,0.0532,0.6695,0.1063,0.5023,0.1259,0.5672,0.0979
4,M,-5,3,Frasherdolphin,0.7149,0.1043,0.9287,0.0464,0.6255,0.1142,0.825,0.1373,0.6949,0.0445
4,M,-5,4,HumpbackWhale,0.6732,0.1015,0.8568,0.0348,0.6808,0.0861,0.5348,0.1455,0.5954,0.1264
4,M,-5,5,KillerWhale,0.8889,0.0413,0.9698,0.0141,0.8624,0.0538,0.7333,0.0943,0.7917,0.0781
4,M,-5,6,NorthernRightWhale,0.4238,0.0639,0.764,0.0808,0.387,0.0466,0.4244,0.0855,0.4015,0.0516
4,M,0,0,BottlenoseDolphin,0.7082,0.1305,0.9352,0.0097,0.607,0.142,0.7524,0.0916,0.6637,0.1
4,M,0,1,BowheadWhale,0.7179,0.1318,0.9052,0.039,0.6226,0.0343,0.6884,0.1449,0.6459,0.0737
4,M,0,2,ClymeneDolphin,0.8161,0.1017,0.9475,0.0307,0.7852,0.099,0.6651,0.153,0.7133,0.1057
4,M,0,3,Frasherdolphin,0.8016,0.0833,0.9467,0.0384,0.7029,0.1408,0.85,0.1218,0.7543,0.0619
4,M,0,4,HumpbackWhale,0.784,0.0585,0.9083,0.0293,0.7671,0.0546,0.6652,0.0836,0.708,0.0457
4,M,0,5,KillerWhale,0.948,0.0201,0.983,0.0108,0.9059,0.0294,0.8286,0.0797,0.8642,0.0531
4,M,0,6,NorthernRightWhale,0.5585,0.0627,0.8192,0.0725,0.5356,0.078,0.4829,0.0556,0.506,0.0566
4,M,5,0,BottlenoseDolphin,0.8258,0.0852,0.9543,0.0275,0.7208,0.1786,0.781,0.0722,0.7412,0.1101
4,M,5,1,BowheadWhale,0.779,0.1375,0.9386,0.0345,0.6557,0.0256,0.7581,0.1821,0.6947,0.0999
4,M,5,2,ClymeneDolphin,0.8755,0.0622,0.9681,0.0194,0.8245,0.0915,0.7163,0.1589,0.7587,0.1034
4,M,5,3,Frasherdolphin,0.8635,0.0595,0.9662,0.0355,0.7502,0.1269,0.8687,0.1238,0.7902,0.0348
4,M,5,4,HumpbackWhale,0.8341,0.032,0.9255,0.0192,0.822,0.0468,0.7565,0.1036,0.7829,0.0526
4,M,5,5,KillerWhale,0.9714,0.0123,0.9913,0.0072,0.9259,0.0233,0.8905,0.0494,0.9073,0.0314
4,M,5,6,NorthernRightWhale,0.6425,0.063,0.8683,0.0555,0.6261,0.1113,0.5268,0.0534,0.566,0.0524
4,M,10,0,BottlenoseDolphin,0.8498,0.0765,0.9508,0.0407,0.7662,0.1378,0.7905,0.0797,0.7721,0.0831
4,M,10,1,BowheadWhale,0.8057,0.1282,0.9578,0.0291,0.6986,0.018,0.8093,0.1688,0.7425,0.0873
4,M,10,2,ClymeneDolphin,0.8931,0.052,0.9756,0.016,0.8525,0.0772,0.7953,0.1045,0.8206,0.0792
4,M,10,3,Frasherdolphin,0.9013,0.048,0.9766,0.0244,0.8127,0.0895,0.9,0.0867,0.8476,0.0364
4,M,10,4,HumpbackWhale,0.8737,0.0263,0.946,0.0135,0.8625,0.0716,0.813,0.0567,0.8335,0.0231
4,M,10,5,KillerWhale,0.9802,0.0118,0.9945,0.0047,0.9383,0.04,0.919,0.0398,0.9279,0.0284
4,M,10,6,NorthernRightWhale,0.7336,0.0889,0.9019,0.0521,0.7196,0.1073,0.6,0.1331,0.6451,0.1042
4,S,-5,0,BottlenoseDolphin,0.4889,0.1186,0.8969,0.0518,0.3344,0.0607,0.7333,0.1863,0.4524,0.0661
4,S,-5,1,BowheadWhale,0.5855,0.0826,0.8574,0.0319,0.5507,0.0432,0.5488,0.0816,0.5484,0.0577
4,S,-5,2,ClymeneDolphin,0.6615,0.1156,0.8688,0.0522,0.6739,0.0813,0.3953,0.1197,0.4921,0.1142
4,S,-5,3,Frasherdolphin,0.7294,0.0416,0.9339,0.0137,0.5598,0.1141,0.8187,0.0809,0.6545,0.0684
4,S,-5,4,HumpbackWhale,0.704,0.1172,0.8639,0.0397,0.761,0.0895,0.5304,0.1695,0.6174,0.1476
4,S,-5,5,KillerWhale,0.8779,0.0266,0.951,0.0114,0.8849,0.0617,0.7095,0.0913,0.7823,0.0434
4,S,-5,6,NorthernRightWhale,0.4112,0.0913,0.7462,0.0435,0.3996,0.021,0.3756,0.0681,0.3855,0.0445
4,S,0,0,BottlenoseDolphin,0.7478,0.1492,0.9542,0.0399,0.5333,0.1394,0.8476,0.1137,0.6453,0.1142
4,S,0,1,BowheadWhale,0.7263,0.0899,0.914,0.0343,0.6537,0.0474,0.6977,0.104,0.6733,0.0682
4,S,0,2,ClymeneDolphin,0.8605,0.0976,0.9568,0.037,0.8763,0.0771,0.6651,0.1682,0.7475,0.1349
4,S,0,3,Frasherdolphin,0.8477,0.0498,0.9645,0.015,0.7121,0.1435,0.8625,0.1003,0.7675,0.0839
4,S,0,4,HumpbackWhale,0.8072,0.0828,0.9127,0.0306,0.7791,0.0335,0.6783,0.1165,0.7196,0.0631
4,S,0,5,KillerWhale,0.9452,0.0211,0.9822,0.0088,0.914,0.061,0.8476,0.0643,0.8767,0.0305
4,S,0,6,NorthernRightWhale,0.5469,0.0846,0.8218,0.0479,0.5383,0.0433,0.4488,0.0327,0.4882,0.0262
4,S,5,0,BottlenoseDolphin,0.8503,0.1173,0.9769,0.0192,0.6789,0.1559,0.8571,0.101,0.751,0.1162
4,S,5,1,BowheadWhale,0.8179,0.099,0.9513,0.0253,0.6581,0.0619,0.8047,0.1259,0.7226,0.0862
4,S,5,2,ClymeneDolphin,0.918,0.0657,0.9779,0.019,0.911,0.0754,0.7535,0.1633,0.8194,0.1257
4,S,5,3,Frasherdolphin,0.9087,0.0371,0.9808,0.011,0.7852,0.1309,0.8937,0.0719,0.8268,0.0596
4,S,5,4,HumpbackWhale,0.8517,0.0423,0.9282,0.0192,0.8216,0.0492,0.7783,0.0711,0.7966,0.0343
4,S,5,5,KillerWhale,0.9706,0.0206,0.9881,0.0129,0.9263,0.0337,0.8857,0.0516,0.9047,0.0315
4,S,5,6,NorthernRightWhale,0.6534,0.1016,0.8806,0.0489,0.6821,0.0945,0.5171,0.0719,0.5873,0.0773
4,S,10,0,BottlenoseDolphin,0.9,0.0973,0.9862,0.0135,0.8,0.1131,0.8667,0.1032,0.8285,0.0921
4,S,10,1,BowheadWhale,0.8587,0.0687,0.9682,0.0169,0.7046,0.0535,0.8512,0.1123,0.77,0.077
4,S,10,2,ClymeneDolphin,0.9325,0.0598,0.9841,0.0142,0.9065,0.0763,0.8,0.1495,0.8464,0.1141
4,S,10,3,Frasherdolphin,0.9472,0.0309,0.9912,0.0044,0.8198,0.1365,0.925,0.0609,0.8612,0.0702
4,S,10,4,HumpbackWhale,0.8946,0.0262,0.9518,0.0098,0.8583,0.0949,0.8348,0.0119,0.8443,0.0494
4,S,10,5,KillerWhale,0.9774,0.0167,0.9894,0.013,0.9388,0.0349,0.9381,0.0271,0.9382,0.0255
4,S,10,6,NorthernRightWhale,0.7481,0.1108,0.9174,0.0495,0.7662,0.0949,0.5805,0.0951,0.6596,0.0933
8,C,-5,0,BottlenoseDolphin,0.5268,0.0687,0.8883,0.0144,0.3365,0.0295,0.5619,0.0916,0.4197,0.0454
8,C,-5,1,BowheadWhale,0.4103,0.0367,0.7464,0.0338,0.5783,0.047,0.1163,0.0465,0.1905,0.0655
8,C,-5,2,ClymeneDolphin,0.5851,0.0429,0.8565,0.0395,0.5642,0.0805,0.4698,0.0624,0.5083,0.0406
8,C,-5,3,Frasherdolphin,0.4727,0.1108,0.8566,0.0387,0.2295,0.0262,0.8625,0.0648,0.3624,0.0379
8,C,-5,4,HumpbackWhale,0.6319,0.024,0.8254,0.0126,0.7079,0.1268,0.3043,0.0554,0.4169,0.0447
8,C,-5,5,KillerWhale,0.7615,0.0391,0.9309,0.0129,0.7438,0.0465,0.5,0.0445,0.5959,0.0283
8,C,-5,6,NorthernRightWhale,0.3689,0.0121,0.7282,0.0137,0.4641,0.0517,0.2049,0.037,0.284,0.0449
8,C,0,0,BottlenoseDolphin,0.7482,0.0591,0.9278,0.0146,0.4395,0.0534,0.7619,0.0891,0.5559,0.0578
8,C,0,1,BowheadWhale,0.5711,0.0676,0.8343,0.0296,0.6956,0.1249,0.1767,0.0782,0.277,0.1011
8,C,0,2,ClymeneDolphin,0.8533,0.0447,0.9659,0.0169,0.8079,0.078,0.7535,0.0535,0.7775,0.0441
8,C,0,3,Frasherdolphin,0.6928,0.1134,0.9352,0.0205,0.3222,0.0287,0.95,0.028,0.4808,0.0343
8,C,0,4,HumpbackWhale,0.8034,0.0113,0.8975,0.0098,0.84,0.0726,0.5609,0.0728,0.6667,0.0276
8,C,0,5,KillerWhale,0.875,0.0228,0.9691,0.0113,0.8124,0.0446,0.6429,0.063,0.715,0.0298
8,C,0,6,NorthernRightWhale,0.4854,0.0173,0.8066,0.0066,0.6288,0.0499,0.3171,0.0597,0.4183,0.0538
8,C,5,0,BottlenoseDolphin,0.8034,0.0286,0.9504,0.0121,0.5292,0.0272,0.8095,0.0583,0.639,0.0277
8,C,5,1,BowheadWhale,0.7237,0.0511,0.9091,0.0204,0.7984,0.0406,0.3953,0.0658,0.5274,0.0676
8,C,5,2,ClymeneDolphin,0.9457,0.026,0.9899,0.005,0.877,0.0372,0.8512,0.0422,0.8631,0.026
8,C,5,3,Frasherdolphin,0.8225,0.0816,0.9697,0.0102,0.4418,0.016,0.9625,0.014,0.6054,0.0148
8,C,5,4,HumpbackWhale,0.8702,0.009,0.9267,0.0069,0.8652,0.0616,0.7696,0.0424,0.8122,0.0142
8,C,5,5,KillerWhale,0.9281,0.0078,0.9833,0.0048,0.827,0.0504,0.819,0.0433,0.8211,0.0146
8,C,5,6,NorthernRightWhale,0.6096,0.0158,0.8633,0.0068,0.7793,0.048,0.3805,0.0612,0.5095,0.062
8,C,10,0,BottlenoseDolphin,0.8479,0.0377,0.9657,0.0099,0.6559,0.0911,0.819,0.0398,0.7253,0.0537
8,C,10,1,BowheadWhale,0.8495,0.008,0.9487,0.007,0.891,0.0228,0.5721,0.0939,0.6934,0.0732
8,C,10,2,ClymeneDolphin,0.9703,0.0149,0.994,0.0037,0.8944,0.0354,0.9302,0.0164,0.9114,0.0146
8,C,10,3,Frasherdolphin,0.8869,0.0604,0.9827,0.0049,0.5555,0.0363,0.9687,0.0,0.7056,0.0297
8,C,10,4,HumpbackWhale,0.9249,0.0065,0.9588,0.0112,0.8882,0.0524,0.8304,0.0322,0.8568,0.0154
8,C,10,5,KillerWhale,0.9676,0.0068,0.9929,0.0019,0.8528,0.0386,0.9238,0.0199,0.8862,0.0149
8,C,10,6,NorthernRightWhale,0.7484,0.0319,0.9157,0.0061,0.8154,0.0373,0.4829,0.0719,0.6053,0.066
8,M,-5,0,BottlenoseDolphin,0.5599,0.0752,0.9139,0.0267,0.4267,0.0534,0.6762,0.1278,0.5201,0.0672
8,M,-5,1,BowheadWhale,0.6805,0.0399,0.8791,0.0241,0.6575,0.0403,0.6512,0.087,0.651,0.0436
8,M,-5,2,ClymeneDolphin,0.7347,0.0456,0.914,0.0182,0.7001,0.1043,0.5907,0.0939,0.6305,0.0352
8,M,-5,3,Frasherdolphin,0.7127,0.0674,0.9226,0.0175,0.6037,0.1065,0.7625,0.1182,0.6717,0.1032
8,M,-5,4,HumpbackWhale,0.7074,0.0654,0.8789,0.0135,0.7491,0.0668,0.6,0.0698,0.6626,0.0458
8,M,-5,5,KillerWhale,0.9002,0.0232,0.9635,0.0166,0.8793,0.0404,0.7667,0.1147,0.8138,0.0573
8,M,-5,6,NorthernRightWhale,0.4919,0.0293,0.8008,0.0347,0.5139,0.0301,0.4927,0.0869,0.4983,0.0402
8,M,0,0,BottlenoseDolphin,0.7997,0.0662,0.9683,0.0094,0.6447,0.056,0.7619,0.1388,0.692,0.0744
8,M,0,1,BowheadWhale,0.8075,0.062,0.9268,0.0239,0.7155,0.0532,0.7721,0.0861,0.7402,0.0526
8,M,0,2,ClymeneDolphin,0.8894,0.0332,0.9645,0.0093,0.808,0.0715,0.7628,0.0724,0.7806,0.0308
8,M,0,3,Frasherdolphin,0.8648,0.0337,0.9651,0.0127,0.7087,0.0331,0.8125,0.0312,0.756,0.0096
8,M,0,4,HumpbackWhale,0.8124,0.0424,0.9247,0.0138,0.8208,0.0553,0.7435,0.0357,0.7793,0.0349
