k,train_condition,test_snr,class_idx,class_name,ap_mean,ap_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,C,-5,0,BottlenoseDolphin,0.5028,0.0769,0.875,0.0306,0.3183,0.039,0.6476,0.1287,0.4237,0.0458
2,C,-5,1,BowheadWhale,0.3847,0.0683,0.7264,0.0836,0.5835,0.1149,0.1256,0.0606,0.201,0.0819
2,C,-5,2,ClymeneDolphin,0.646,0.03,0.8731,0.0169,0.6727,0.0973,0.4884,0.1242,0.5491,0.0518
2,C,-5,3,Frasherdolphin,0.4426,0.0462,0.8622,0.0175,0.2804,0.0577,0.8937,0.0356,0.424,0.0646
2,C,-5,4,HumpbackWhale,0.6463,0.0581,0.8403,0.0255,0.743,0.1059,0.3391,0.0731,0.4581,0.066
2,C,-5,5,KillerWhale,0.765,0.045,0.941,0.0171,0.7336,0.0329,0.5714,0.1142,0.637,0.0676
2,C,-5,6,NorthernRightWhale,0.3231,0.017,0.6928,0.0431,0.4259,0.0535,0.239,0.0401,0.3044,0.0377
2,C,0,0,BottlenoseDolphin,0.6969,0.106,0.921,0.0242,0.4104,0.0361,0.8095,0.101,0.544,0.0519
2,C,0,1,BowheadWhale,0.5162,0.0902,0.808,0.0729,0.6719,0.1022,0.1767,0.0764,0.2731,0.0993
2,C,0,2,ClymeneDolphin,0.8831,0.0176,0.9698,0.0087,0.8792,0.085,0.7302,0.0799,0.7924,0.0396
2,C,0,3,Frasherdolphin,0.6547,0.0989,0.9348,0.0094,0.3671,0.0671,0.9625,0.014,0.5284,0.0688
2,C,0,4,HumpbackWhale,0.8154,0.0191,0.9074,0.0164,0.8414,0.0599,0.5609,0.0775,0.6678,0.0367
2,C,0,5,KillerWhale,0.8601,0.038,0.9728,0.0062,0.7845,0.0603,0.7048,0.0868,0.7385,0.0452
2,C,0,6,NorthernRightWhale,0.449,0.0258,0.772,0.0444,0.563,0.0353,0.3268,0.0938,0.4073,0.0818
2,C,5,0,BottlenoseDolphin,0.7575,0.0859,0.9441,0.0216,0.4806,0.0497,0.8381,0.0543,0.6101,0.0485
2,C,5,1,BowheadWhale,0.6437,0.0534,0.8709,0.0449,0.7743,0.0825,0.3302,0.0992,0.4593,0.1177
2,C,5,2,ClymeneDolphin,0.9495,0.0063,0.9898,0.0019,0.9014,0.0492,0.8558,0.0416,0.8762,0.0082
2,C,5,3,Frasherdolphin,0.802,0.1014,0.9613,0.0125,0.5128,0.0915,0.9687,0.0,0.6667,0.0777
2,C,5,4,HumpbackWhale,0.901,0.0147,0.9415,0.0181,0.8585,0.0612,0.7826,0.051,0.8164,0.0228
2,C,5,5,KillerWhale,0.9206,0.0174,0.9843,0.003,0.8223,0.0435,0.8619,0.0488,0.8398,0.0138
2,C,5,6,NorthernRightWhale,0.5822,0.0269,0.8309,0.0382,0.7165,0.0758,0.4146,0.0991,0.5202,0.0858
2,C,10,0,BottlenoseDolphin,0.8209,0.0652,0.9597,0.0181,0.5644,0.0536,0.819,0.0398,0.6679,0.0497
2,C,10,1,BowheadWhale,0.7946,0.0371,0.9262,0.026,0.8865,0.024,0.5488,0.1061,0.6737,0.0811
2,C,10,2,ClymeneDolphin,0.9714,0.002,0.9943,0.0007,0.9133,0.0297,0.9163,0.0453,0.9139,0.0219
2,C,10,3,Frasherdolphin,0.8607,0.078,0.9763,0.0098,0.6129,0.086,0.9687,0.0,0.748,0.065
2,C,10,4,HumpbackWhale,0.9335,0.0123,0.9626,0.0114,0.8904,0.0571,0.8478,0.0344,0.867,0.0215
2,C,10,5,KillerWhale,0.9563,0.0109,0.9917,0.0017,0.8448,0.0227,0.9524,0.0337,0.8948,0.0131
2,C,10,6,NorthernRightWhale,0.7209,0.0343,0.8791,0.044,0.8187,0.0653,0.4927,0.0582,0.6128,0.0496
2,M,-5,0,BottlenoseDolphin,0.448,0.127,0.8547,0.0787,0.3469,0.0821,0.6476,0.2172,0.4421,0.0998
2,M,-5,1,BowheadWhale,0.505,0.0557,0.8118,0.0448,0.5018,0.046,0.5488,0.1682,0.5091,0.0756
2,M,-5,2,ClymeneDolphin,0.5947,0.0667,0.8405,0.0392,0.6553,0.0844,0.5163,0.0761,0.571,0.0478
